1,Jingle,Piano
2,Electric,Piano
3,House,Piano
4,Elopiano,Piano
5,Vintage,E. Piano
6,Funky Pno,E. Piano
7,Fm Piano 1,Piano
8,Fm Piano 2,E. Piano
9,ToyBox,Perc. & Drum Kit
10,Chimes,Perc. & Drum Kit
11,Mallets,Perc. & Drum Kit
12,Long Vibes,Perc. & Drum Kit
13,Malimba,Perc. & Drum Kit
14,Mellow,Perc. & Drum Kit
15,Tinkles,Perc. & Drum Kit
16,Windchimes,Perc. & Drum Kit
17,Rotary,Organ
18,JazzOrg2,Organ
19,Drawbar,Organ
20,Positive,Organ
21,Master,Organ
22,Francaise,Accordion & Harmonica
23,Cassotto,Accordion & Harmonica
24,Tango,Accordion & Harmonica
25,Nylon,Guitar & Bass
26,Folk,Guitar & Bass
27,Funk,Guitar & Bass
28,60' Stopped,Guitar & Bass
29,Muted2,Guitar & Bass
30,Lead,Guitar & Bass
31,12Strings,Guitar & Bass
32,Solid,Guitar & Bass
33,Warm,Guitar & Bass
34,Ms Finger,Guitar & Bass
35,Mute,Guitar & Bass
36,Bluebass,Guitar & Bass
37,Precision,Guitar & Bass
38,Synbas3,Guitar & Bass
39,Synbas4,Guitar & Bass
40,Synbas5,Guitar & Bass
41,Philarmoni,Strings
42,Violas,Strings
43,GlockString,Strings
44,OctaStrgs1,Strings
45,OctaStrgs2,Strings
46,Marcato,Strings
47,Orchestra,Strings
48,Slow Arcos,Strings
49,Strings2,Strings
50,DarkStrings,Strings
51,Dah,Choir & Pad
52,Vocalize,Choir & Pad
53,Scat,Choir & Pad
54,Ooh,Choir & Pad
55,Aah,Choir & Pad
56,Corale,Choir & Pad
57,Golden Tpt,Trumpet
58,Cornet,Trumpet
59,Tuba&Bass,Trumpet
60,Muted Tpt,Trumpet
61,Flugelhrn1,Brass
62,Brass 2,Brass
63,GrowBras1,Brass
64,BrassFx,Brass
65,Soprano,Brass
66,Liscio Sax,Brass
67,Jazz Tenor,Brass
68,Graffiato,Trumpet
69,Mariachi,Flute & Woodwind
70,GrowBras2,Flute & Woodwind
71,Blare,Flute & Woodwind
72,Slide Tbn,Flute & Woodwind
73,Clarino,Flute & Woodwind
74,Fife,Flute & Woodwind
75,Lip Flute,Flute & Woodwind
76,Chiff,Flute & Woodwind
77,Analogs,Flute & Woodwind
78,Flanger,Flute & Woodwind
79,Brightpad,Flute & Woodwind
80,Wiring,Flute & Woodwind
81,Wow,Synth & FX
82,Starcase,Synth & FX
83,Square ,Synth & FX
84,Sine ,Synth & FX
85,RockBas,Synth & FX
86,Synbas6,Synth & FX
87,Synbas7,Synth & FX
88,Synbas8,Synth & FX
89,2nd Perc,Synth & FX
90,3th Perc,Synth & FX
91,Click,Synth & FX
92,Tonebar,Synth & FX
93,Pop Organ,Synth & FX
94,JazzOrg3,Synth & FX
95,Lower 8' - 4',Synth & FX
96,Jazzy,Synth & FX
97,Pop,Synth & FX
98,Telecast,Synth & FX
99,Strato,Synth & FX
100,Texas,Synth & FX
101,Tremolo,Synth & FX
102,Unplug,Synth & FX
103,Stops,Synth & FX
104,Wha guitar,Synth & FX
105,Hawaian,Strings
106,Mandolin,Strings
107,Django,Strings
108,ClassicFx,Strings
109,Pedalsteel,Strings
110,Rock&Roll,Flute & Woodwind
111,Reed 8',Strings
112,Blow,Flute & Woodwind
113,Fx,Perc. & Drum Kit
114,Tecnosynt1,Perc. & Drum Kit
115,Tecnosynt2,Perc. & Drum Kit
116,Rave1,Perc. & Drum Kit
117,Rave2,Perc. & Drum Kit
118,Rave3,Organ
119,Rave4,Organ
120,Rave5,Synth & FX
121,Effects1,Synth & FX
122,Effects2,Synth & FX
123,Effects3,Synth & FX
124,Effects4,Synth & FX
125,Effects5,Synth & FX
126,Effects6,Synth & FX
127,Effects7,Synth & FX
128,Effects8,Synth & FX
